========== DOMAIN HEALTH REPORT ==========
Generated: Mon Mar 16 17:43:37 UTC 2026

✗ mangareader.to - 502 (Marking Broken)
✓ anibel.net - 200 (Restoring Live Parser)
✓ blogtruyenvn.org - 200 (Restoring Live Parser)
✓ poseidonscans.com - 200 (Restoring Live Parser)
✓ lire-scan.me - 200 (Restoring Live Parser)
✓ www.brmangas.net - 200 (Restoring Live Parser)
✓ acomics.ru - 200 (Restoring Live Parser)
✓ azcomix.me - 200 (Restoring Live Parser)
✓ mangaowl.to - 200 (Restoring Live Parser)
✓ dragontranslation.net - 200 (Restoring Live Parser)
✓ templescanesp.net - 200 (Restoring Live Parser)
